Day	Pen1	Pen1 Average	Pen2	Pen2 Average
1	14.20	11.57	11.01	10.72
2	12.24	11.57	10.41	10.72
3	13.95	11.57	10.89	10.72
4	12.40	11.57	9.85	10.72
5	13.53	11.57	9.72	10.72
6	11.38	11.57	11.13	10.72
7	11.92	11.57	8.89	10.72
8	11.82	11.57	9.44	10.72
9	11.46	11.57	7.49	10.72
10	11.41	11.57	7.90	10.72
11	12.28	11.57	8.87	10.72
12	12.01	11.57	8.86	10.72
13	12.62	11.57	10.53	10.72
14	12.43	11.57	9.12	10.72
15	12.02	11.57	11.42	10.72
16	11.54	11.57	11.09	10.72
17	10.99	11.57	11.24	10.72
18	12.62	11.57	9.77	10.72
19	13.86	11.57	11.87	10.72
20	10.63	11.57	12.80	10.72
21	12.56	11.57	11.28	10.72
22	12.02	11.57	11.58	10.72
23	14.15	11.57	13.15	10.72
24	12.70	11.57	10.61	10.72
25	11.68	11.57	13.21	10.72
26	8.08	11.57	7.89	10.72
27	15.34	11.57	13.25	10.72
28	11.10	11.57	12.16	10.72
29	11.56	11.57	10.13	10.72
30	10.90	11.57	10.56	10.72
31	9.86	11.57	10.52	10.72
32	10.80	11.57	11.10	10.72
33	10.40	11.57	10.83	10.72
34	11.34	11.57	11.57	10.72
35	11.12	11.57	11.48	10.72
36	10.57	11.57	9.57	10.72
37	10.58	11.57	11.77	10.72
38	10.28	11.57	10.15	10.72
39	11.78	11.57	11.49	10.72
40	10.32	11.57	11.30	10.72
41	11.27	11.57	10.57	10.72
42	10.37	11.57	10.93	10.72
43	10.97	11.57	10.03	10.72
44	9.95	11.57	11.17	10.72
45	9.93	11.57	11.28	10.72
46	10.05	11.57	11.90	10.72
47	10.87	11.57	11.63	10.72
48	9.51	11.57	11.06	10.72
